,10_6_5_11,9_6_5_11,purep53,JMS8-2,JMS8-3,JMS8-4,JMS8-5,JMS9-P7c,JMS9-P8c
100504581,1,0,0,0,1,0,1,0,0
15078,575,902,1587,1301,1965,1063,1461,558,374
208768,3697,3166,9076,8681,7715,5866,6600,2299,2385
100504598,3,5,12,3,17,19,10,3,4
320202,1,0,1,0,0,0,0,0,0
100862334,0,0,0,1,0,0,0,0,0
69051,242,489,1089,863,835,384,608,267,124
13590,14,3,24,23,6,11,15,1,2
208795,2665,1869,3406,3772,4648,4101,3045,1001,1254
13849,8113,2875,6266,7041,9200,12162,5857,1562,4342
619326,0,0,1,1,0,2,1,0,1
67459,896,1043,1981,1590,2344,1876,1861,628,669
98417,1228,1464,2796,2631,3558,2519,2270,818,636
226757,9811,8780,17211,13425,25192,23143,19453,6943,6867
329307,23,8,8,9,13,21,11,4,5
72978,7,4,32,20,12,13,42,4,0
403180,27,16,5,5,25,11,3,15,11
240960,30,13,14,16,30,48,17,2,31
98386,1331,1123,5359,4092,2888,2592,4050,820,818
433384,0,0,0,0,0,0,0,0,0
13800,1508,1898,1504,1174,3621,2687,1593,1086,850
27058,361,366,681,527,807,562,473,196,205
625823,0,0,0,0,0,0,0,0,0
13244,1220,1874,6699,6686,3907,2064,5788,1439,1027
67330,0,0,1,0,0,2,0,0,1
67948,1432,2074,5993,4678,5450,3935,6791,1351,1027
209456,10359,5493,14207,10384,13275,13353,14324,4025,7089
12334,3466,5606,10427,8160,10864,7717,15070,3135,2801
170725,213,2838,22,30,4274,882,36,2064,560
433386,0,0,0,0,0,0,0,0,0
96935,101,202,75,78,525,184,68,85,66
53791,683,327,144,242,839,982,183,200,385
68897,261,79,1226,1359,216,377,840,39,156
71678,1114,1519,2119,1788,3091,2284,2181,1025,866
108909,474,432,1610,1444,1198,1110,1388,273,301
338366,5309,4646,8718,6270,11471,11607,9316,3016,3280
21339,673,751,1148,826,1750,1506,1421,657,560
78772,4356,785,175,199,4800,6958,199,305,1992
73363,7,119,16,13,106,29,5,53,11
63953,438,3270,813,671,2737,906,689,2166,736
73590,0,0,0,0,0,0,0,0,0
74971,0,0,0,0,0,0,0,0,0
15284,0,0,15,11,9,2,24,7,0
66112,2,1,24,23,8,2,14,0,2
67247,1665,1269,2726,2566,3788,3490,2013,763,1038
100316821,0,0,0,0,0,0,0,0,0
226777,3886,1595,898,630,5529,5070,902,883,2199
226778,38,70,3843,3741,141,168,3123,60,43
98732,2893,2958,3969,3460,5673,4809,4040,1866,1965
100217449,2,0,3,0,0,1,0,0,0
381314,1954,2789,4819,4084,6270,3498,3717,1797,1402
387189,2,1,3,2,5,2,3,1,1
387211,1,0,2,1,2,4,5,0,0
23827,892,1633,1372,1381,3476,1779,965,1028,600
107508,5881,6703,14759,10219,16066,12361,14313,4424,3854
319562,0,2,1,0,1,2,3,0,0
100039138,0,0,2,0,0,0,0,0,0
226781,1,0,1,5,1,0,2,0,0
114668,0,0,0,0,0,0,1,0,0
226791,621,581,542,435,1374,1028,422,330,389
21808,2919,970,1257,1222,4293,5323,1788,318,1419
67223,1088,699,2619,1658,1850,1691,2159,433,518
110957,78,80,264,183,269,235,300,73,60
74717,8,13,8,4,16,12,17,12,5
69308,0,0,10,7,0,0,3,0,0
67769,783,1548,1251,1036,2730,1526,1163,985,544
100862400,58,86,83,49,133,171,133,67,48
26381,488,952,54,42,1792,1132,79,679,382
320272,0,0,0,0,1,1,0,0,1
22283,2,1,2,2,4,0,3,1,0
226823,2557,2075,4920,4172,5241,4402,4580,1238,1504
16526,3,5,627,516,15,15,483,6,6
100042424,413,890,1704,1405,1631,935,1265,600,339
100039307,0,1,4,5,0,0,3,0,0
108000,231,252,3758,2078,585,354,2669,164,177
19250,1548,2389,29024,34867,4930,2042,29410,2326,1273
226830,1615,1838,5500,4910,4774,3161,4046,1114,1035
19130,262,274,34,39,665,634,40,211,183
100504619,0,0,0,0,0,3,0,0,0
320119,962,943,1856,1868,1971,1262,1273,578,529
52477,1188,1158,2189,2101,2746,2295,2182,953,860
226841,33,31,895,909,71,57,1165,7,19
226844,7346,2833,4709,3836,7572,8726,4745,1649,3758
100125339,22,9,6,11,6,7,8,5,6
75558,1,4,2,3,3,6,1,0,2
68972,160,187,327,398,390,273,285,140,138
381318,45,50,397,231,84,39,207,19,22
381319,12,14,30,22,21,16,39,8,4
619288,198,183,150,210,607,524,130,158,169
11910,98919,81465,66882,72640,116166,59025,28669,72336,51568
100504360,89,120,43,25,133,77,27,65,52
100861628,1,0,0,0,3,3,2,0,0
66208,210,327,691,319,410,250,344,134,92
66950,295,323,833,875,646,450,515,180,153
226849,1121,872,1752,1525,2327,2345,1855,550,635
100504379,2,1,1,0,0,2,2,1,3
76843,426,381,2798,1956,1331,959,2265,182,198
77065,2480,2212,3656,2519,4971,4148,3979,967,1285
226856,10511,7001,18926,11959,25553,33632,29745,3823,6276
18005,192,233,2166,1484,579,308,1135,97,100
98736,15,8,78,53,27,52,108,9,5
22782,1776,1308,4205,4000,4188,3735,2621,658,806
74023,4,4,7,6,3,5,3,3,5
22033,66,49,1119,1431,86,85,851,43,49
100628582,0,0,1,1,0,0,1,0,0
100042625,527,1485,2167,2032,2965,1186,1744,805,404
214742,454,354,907,844,809,669,697,250,318
100038712,25,17,52,56,49,34,47,15,9
16510,461,5898,3675,5459,14398,2505,5194,5537,1311
226861,471,217,926,826,675,610,744,97,171
320952,5,2,4,9,0,8,2,0,9
73455,1,2,0,4,4,5,2,1,2
214791,3247,967,2579,2506,2807,4267,1998,517,1766
100503471,414,137,748,875,295,400,619,63,220
329324,0,2,1,0,3,0,0,1,1
215193,626,634,1914,1353,1387,1069,2310,403,361
54139,6273,10135,9841,8385,20117,11074,11450,6700,4631
319266,279,602,960,895,1423,732,879,298,191
215243,4,4,21,12,3,3,17,1,1
15483,54,39,34,39,54,185,47,6,54
14373,0,0,0,0,0,0,0,0,0
100503531,0,0,0,0,0,0,0,0,0
16780,6003,1797,44981,50294,6542,10266,46681,725,2197
215303,16,13,125,149,43,63,158,6,11
387201,0,0,1,0,0,0,2,1,0
74942,0,0,0,0,0,0,0,0,0
18845,31,249,2283,1053,464,202,2645,284,73
100628615,0,0,0,0,0,0,0,0,0
12490,314,418,3117,2423,381,1500,2977,134,282
320400,6,4,3,6,7,10,10,2,3
320977,147,18,14,9,66,213,33,29,114
723963,0,0,0,0,0,0,0,0,0
387224,0,0,0,0,0,0,0,0,0
17221,24,11,19,12,27,38,22,15,19
12946,1545,1358,1627,1659,3379,2942,1490,820,929
12902,4,2,1,0,3,6,2,2,3
215728,0,0,0,0,0,0,0,0,0
619314,0,0,0,0,0,0,0,0,0
670558,0,1,0,0,2,0,3,9,0
76142,54,18,274,105,47,50,210,19,20
70337,0,11,0,1,3,0,2,1,0
213783,1303,401,902,912,1920,2159,1115,321,734
270685,119,324,1446,1099,706,266,785,172,88
83397,852,385,4084,3945,3681,3349,8779,905,888
381990,1459,1203,2508,2697,3368,2743,2150,712,777
66084,114,243,338,259,392,199,289,171,112
73419,100,314,235,205,506,171,118,207,89
100504234,31,136,7,9,259,91,11,162,52
